"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-4910,1000000,0,0,1,0,0,0,0,0
4889,-21,1000000,0,0,1,0,0,0,0,1
4911,1,1000000,0,0,1,0,0,0,0,0
5922,1012,1000000,0,0,1,0,0,0,0,1
5943,1033,1000000,0,0,1,0,0,0,0,0
6955,2045,1000000,0,0,1,0,0,0,0,1
6976,2066,1000000,0,0,1,0,0,0,0,0
7988,3078,1000000,0,0,1,0,0,0,0,1
8009,3099,1000000,0,0,1,0,0,0,0,0
9020,4110,1000000,0,0,1,0,0,0,0,1
9042,4132,1000000,0,0,1,0,0,0,0,0
10053,5143,1000000,0,0,1,0,0,0,0,1
10075,5165,1000000,0,0,1,0,0,0,0,0
11086,6176,1000000,0,0,1,0,0,0,0,1
11108,6198,1000000,0,0,1,0,0,0,0,0
12119,7209,1000000,0,0,1,0,0,0,0,1
12140,7230,1000000,0,0,1,0,0,0,0,0
13152,8242,1000000,0,0,1,0,0,0,0,1
13173,8263,1000000,0,0,1,0,0,0,0,0
14185,9275,1000000,0,0,1,0,0,0,0,1
14206,9296,1000000,0,0,1,0,0,0,0,0
15219,10309,1000000,0,0,1,0,0,0,0,1
15241,10331,1000000,0,0,1,0,0,0,0,0
15323,10413,1000000,0,0,1,0,0,0,0,1
15344,10434,1000000,0,0,1,0,0,0,0,0
15426,10516,1000000,0,0,1,0,0,0,0,1
15448,10538,1000000,0,0,1,0,0,0,0,0
15529,10619,1000000,0,0,1,0,0,0,0,1
15551,10641,1000000,0,0,1,0,0,0,0,0
15633,10723,1000000,0,0,1,0,0,0,0,1
15655,10745,1000000,0,0,1,0,0,0,0,0
15736,10826,1000000,0,0,1,0,0,0,0,1
15758,10848,1000000,0,0,1,0,0,0,0,0
15840,10930,1000000,0,0,1,0,0,0,0,1
15861,10951,1000000,0,0,1,0,0,0,0,0
16254,11344,1000000,0,0,1,0,0,0,0,1
16276,11366,1000000,0,0,1,0,0,0,0,0
16358,11448,1000000,0,0,1,0,0,0,0,1
16379,11469,1000000,0,0,1,0,0,0,0,0
16874,11964,1000000,0,0,1,0,0,0,0,1
16896,11986,1000000,0,0,1,0,0,0,0,0
16978,12068,1000000,0,0,1,0,0,0,0,1
16999,12089,1000000,0,0,1,0,0,0,0,0
17289,12379,1000000,0,0,1,0,0,0,0,1
17311,12401,1000000,0,0,1,0,0,0,0,0
17496,12586,1000000,0,0,1,0,0,0,0,1
17517,12607,1000000,0,0,1,0,0,0,0,0
17599,12689,1000000,0,0,1,0,0,0,0,1
17621,12711,1000000,0,0,1,0,0,0,0,0
17703,12793,1000000,0,0,1,0,0,0,0,1
17724,12814,1000000,0,0,1,0,0,0,0,0
17806,12896,1000000,0,0,1,0,0,0,0,1
17828,12918,1000000,0,0,1,0,0,0,0,0
17909,12999,1000000,0,0,1,0,0,0,0,1
17931,13021,1000000,0,0,1,0,0,0,0,0
24576,19666,1000000,0,0,1,0,0,0,0,0
