"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-4910,1000000,0,0,1,0,0,0,0,0
4892,-18,1000000,0,0,1,0,0,0,0,1
4913,3,1000000,0,0,1,0,0,0,0,0
5924,1014,1000000,0,0,1,0,0,0,0,1
5946,1036,1000000,0,0,1,0,0,0,0,0
6957,2047,1000000,0,0,1,0,0,0,0,1
6979,2069,1000000,0,0,1,0,0,0,0,0
7990,3080,1000000,0,0,1,0,0,0,0,1
8012,3102,1000000,0,0,1,0,0,0,0,0
9023,4113,1000000,0,0,1,0,0,0,0,1
9045,4135,1000000,0,0,1,0,0,0,0,0
10056,5146,1000000,0,0,1,0,0,0,0,1
10077,5167,1000000,0,0,1,0,0,0,0,0
11089,6179,1000000,0,0,1,0,0,0,0,1
11110,6200,1000000,0,0,1,0,0,0,0,0
12122,7212,1000000,0,0,1,0,0,0,0,1
12143,7233,1000000,0,0,1,0,0,0,0,0
13154,8244,1000000,0,0,1,0,0,0,0,1
13176,8266,1000000,0,0,1,0,0,0,0,0
14187,9277,1000000,0,0,1,0,0,0,0,1
14209,9299,1000000,0,0,1,0,0,0,0,0
15222,10312,1000000,0,0,1,0,0,0,0,1
15244,10334,1000000,0,0,1,0,0,0,0,0
15325,10415,1000000,0,0,1,0,0,0,0,1
15347,10437,1000000,0,0,1,0,0,0,0,0
15429,10519,1000000,0,0,1,0,0,0,0,1
15450,10540,1000000,0,0,1,0,0,0,0,0
15532,10622,1000000,0,0,1,0,0,0,0,1
15554,10644,1000000,0,0,1,0,0,0,0,0
15636,10726,1000000,0,0,1,0,0,0,0,1
15657,10747,1000000,0,0,1,0,0,0,0,0
15739,10829,1000000,0,0,1,0,0,0,0,1
15761,10851,1000000,0,0,1,0,0,0,0,0
15842,10932,1000000,0,0,1,0,0,0,0,1
15864,10954,1000000,0,0,1,0,0,0,0,0
16257,11347,1000000,0,0,1,0,0,0,0,1
16278,11368,1000000,0,0,1,0,0,0,0,0
16360,11450,1000000,0,0,1,0,0,0,0,1
16382,11472,1000000,0,0,1,0,0,0,0,0
16774,11864,1000000,0,0,1,0,0,0,0,1
16795,11885,1000000,0,0,1,0,0,0,0,0
16981,12071,1000000,0,0,1,0,0,0,0,1
17002,12092,1000000,0,0,1,0,0,0,0,0
17292,12382,1000000,0,0,1,0,0,0,0,1
17313,12403,1000000,0,0,1,0,0,0,0,0
17498,12588,1000000,0,0,1,0,0,0,0,1
17520,12610,1000000,0,0,1,0,0,0,0,0
17602,12692,1000000,0,0,1,0,0,0,0,1
17623,12713,1000000,0,0,1,0,0,0,0,0
17705,12795,1000000,0,0,1,0,0,0,0,1
17727,12817,1000000,0,0,1,0,0,0,0,0
17809,12899,1000000,0,0,1,0,0,0,0,1
17830,12920,1000000,0,0,1,0,0,0,0,0
17912,13002,1000000,0,0,1,0,0,0,0,1
17934,13024,1000000,0,0,1,0,0,0,0,0
24576,19666,1000000,0,0,1,0,0,0,0,0
