"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-4910,1000000,0,0,1,0,0,0,0,0
4893,-17,1000000,0,0,1,0,0,0,0,1
4914,4,1000000,0,0,1,0,0,0,0,0
5925,1015,1000000,0,0,1,0,0,0,0,1
5947,1037,1000000,0,0,1,0,0,0,0,0
6958,2048,1000000,0,0,1,0,0,0,0,1
6980,2070,1000000,0,0,1,0,0,0,0,0
7991,3081,1000000,0,0,1,0,0,0,0,1
8013,3103,1000000,0,0,1,0,0,0,0,0
9024,4114,1000000,0,0,1,0,0,0,0,1
9045,4135,1000000,0,0,1,0,0,0,0,0
10057,5147,1000000,0,0,1,0,0,0,0,1
10078,5168,1000000,0,0,1,0,0,0,0,0
11089,6179,1000000,0,0,1,0,0,0,0,1
11111,6201,1000000,0,0,1,0,0,0,0,0
12122,7212,1000000,0,0,1,0,0,0,0,1
12144,7234,1000000,0,0,1,0,0,0,0,0
13155,8245,1000000,0,0,1,0,0,0,0,1
13177,8267,1000000,0,0,1,0,0,0,0,0
14188,9278,1000000,0,0,1,0,0,0,0,1
14209,9299,1000000,0,0,1,0,0,0,0,0
15223,10313,1000000,0,0,1,0,0,0,0,1
15244,10334,1000000,0,0,1,0,0,0,0,0
15326,10416,1000000,0,0,1,0,0,0,0,1
15348,10438,1000000,0,0,1,0,0,0,0,0
15429,10519,1000000,0,0,1,0,0,0,0,1
15451,10541,1000000,0,0,1,0,0,0,0,0
15533,10623,1000000,0,0,1,0,0,0,0,1
15554,10644,1000000,0,0,1,0,0,0,0,0
15636,10726,1000000,0,0,1,0,0,0,0,1
15658,10748,1000000,0,0,1,0,0,0,0,0
15739,10829,1000000,0,0,1,0,0,0,0,1
15761,10851,1000000,0,0,1,0,0,0,0,0
15843,10933,1000000,0,0,1,0,0,0,0,1
15864,10954,1000000,0,0,1,0,0,0,0,0
16257,11347,1000000,0,0,1,0,0,0,0,1
16279,11369,1000000,0,0,1,0,0,0,0,0
16361,11451,1000000,0,0,1,0,0,0,0,1
16382,11472,1000000,0,0,1,0,0,0,0,0
16464,11554,1000000,0,0,1,0,0,0,0,1
16486,11576,1000000,0,0,1,0,0,0,0,0
16567,11657,1000000,0,0,1,0,0,0,0,1
16589,11679,1000000,0,0,1,0,0,0,0,0
16671,11761,1000000,0,0,1,0,0,0,0,1
16692,11782,1000000,0,0,1,0,0,0,0,0
16774,11864,1000000,0,0,1,0,0,0,0,1
16796,11886,1000000,0,0,1,0,0,0,0,0
16981,12071,1000000,0,0,1,0,0,0,0,1
17003,12093,1000000,0,0,1,0,0,0,0,0
17084,12174,1000000,0,0,1,0,0,0,0,1
17106,12196,1000000,0,0,1,0,0,0,0,0
17292,12382,1000000,0,0,1,0,0,0,0,1
17314,12404,1000000,0,0,1,0,0,0,0,0
17499,12589,1000000,0,0,1,0,0,0,0,1
17521,12611,1000000,0,0,1,0,0,0,0,0
17602,12692,1000000,0,0,1,0,0,0,0,1
17624,12714,1000000,0,0,1,0,0,0,0,0
17706,12796,1000000,0,0,1,0,0,0,0,1
17727,12817,1000000,0,0,1,0,0,0,0,0
17809,12899,1000000,0,0,1,0,0,0,0,1
17831,12921,1000000,0,0,1,0,0,0,0,0
17912,13002,1000000,0,0,1,0,0,0,0,1
17934,13024,1000000,0,0,1,0,0,0,0,0
24576,19666,1000000,0,0,1,0,0,0,0,0
