"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-4910,1000000,0,0,1,0,0,0,0,0
4890,-20,1000000,0,0,1,0,0,0,0,1
4911,1,1000000,0,0,1,0,0,0,0,0
5923,1013,1000000,0,0,1,0,0,0,0,1
5944,1034,1000000,0,0,1,0,0,0,0,0
6955,2045,1000000,0,0,1,0,0,0,0,1
6977,2067,1000000,0,0,1,0,0,0,0,0
7988,3078,1000000,0,0,1,0,0,0,0,1
8010,3100,1000000,0,0,1,0,0,0,0,0
9021,4111,1000000,0,0,1,0,0,0,0,1
9043,4133,1000000,0,0,1,0,0,0,0,0
10054,5144,1000000,0,0,1,0,0,0,0,1
10076,5166,1000000,0,0,1,0,0,0,0,0
11087,6177,1000000,0,0,1,0,0,0,0,1
11108,6198,1000000,0,0,1,0,0,0,0,0
12120,7210,1000000,0,0,1,0,0,0,0,1
12141,7231,1000000,0,0,1,0,0,0,0,0
13152,8242,1000000,0,0,1,0,0,0,0,1
13174,8264,1000000,0,0,1,0,0,0,0,0
14185,9275,1000000,0,0,1,0,0,0,0,1
14207,9297,1000000,0,0,1,0,0,0,0,0
15220,10310,1000000,0,0,1,0,0,0,0,1
15242,10332,1000000,0,0,1,0,0,0,0,0
15323,10413,1000000,0,0,1,0,0,0,0,1
15345,10435,1000000,0,0,1,0,0,0,0,0
15427,10517,1000000,0,0,1,0,0,0,0,1
15449,10539,1000000,0,0,1,0,0,0,0,0
15530,10620,1000000,0,0,1,0,0,0,0,1
15552,10642,1000000,0,0,1,0,0,0,0,0
15634,10724,1000000,0,0,1,0,0,0,0,1
15655,10745,1000000,0,0,1,0,0,0,0,0
15737,10827,1000000,0,0,1,0,0,0,0,1
15759,10849,1000000,0,0,1,0,0,0,0,0
15840,10930,1000000,0,0,1,0,0,0,0,1
15862,10952,1000000,0,0,1,0,0,0,0,0
16255,11345,1000000,0,0,1,0,0,0,0,1
16277,11367,1000000,0,0,1,0,0,0,0,0
16358,11448,1000000,0,0,1,0,0,0,0,1
16380,11470,1000000,0,0,1,0,0,0,0,0
16462,11552,1000000,0,0,1,0,0,0,0,1
16483,11573,1000000,0,0,1,0,0,0,0,0
16565,11655,1000000,0,0,1,0,0,0,0,1
16587,11677,1000000,0,0,1,0,0,0,0,0
16668,11758,1000000,0,0,1,0,0,0,0,1
16690,11780,1000000,0,0,1,0,0,0,0,0
16772,11862,1000000,0,0,1,0,0,0,0,1
16794,11884,1000000,0,0,1,0,0,0,0,0
16979,12069,1000000,0,0,1,0,0,0,0,1
17000,12090,1000000,0,0,1,0,0,0,0,0
17290,12380,1000000,0,0,1,0,0,0,0,1
17311,12401,1000000,0,0,1,0,0,0,0,0
17497,12587,1000000,0,0,1,0,0,0,0,1
17518,12608,1000000,0,0,1,0,0,0,0,0
17600,12690,1000000,0,0,1,0,0,0,0,1
17622,12712,1000000,0,0,1,0,0,0,0,0
17703,12793,1000000,0,0,1,0,0,0,0,1
17725,12815,1000000,0,0,1,0,0,0,0,0
17807,12897,1000000,0,0,1,0,0,0,0,1
17828,12918,1000000,0,0,1,0,0,0,0,0
17910,13000,1000000,0,0,1,0,0,0,0,1
17932,13022,1000000,0,0,1,0,0,0,0,0
24576,19666,1000000,0,0,1,0,0,0,0,0
