"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-4910,1000000,0,0,1,0,0,0,0,0
4891,-19,1000000,0,0,1,0,0,0,0,1
4913,3,1000000,0,0,1,0,0,0,0,0
5924,1014,1000000,0,0,1,0,0,0,0,1
5946,1036,1000000,0,0,1,0,0,0,0,0
6957,2047,1000000,0,0,1,0,0,0,0,1
6978,2068,1000000,0,0,1,0,0,0,0,0
7990,3080,1000000,0,0,1,0,0,0,0,1
8011,3101,1000000,0,0,1,0,0,0,0,0
9022,4112,1000000,0,0,1,0,0,0,0,1
9044,4134,1000000,0,0,1,0,0,0,0,0
10055,5145,1000000,0,0,1,0,0,0,0,1
10077,5167,1000000,0,0,1,0,0,0,0,0
11088,6178,1000000,0,0,1,0,0,0,0,1
11110,6200,1000000,0,0,1,0,0,0,0,0
12121,7211,1000000,0,0,1,0,0,0,0,1
12142,7232,1000000,0,0,1,0,0,0,0,0
13154,8244,1000000,0,0,1,0,0,0,0,1
13175,8265,1000000,0,0,1,0,0,0,0,0
14186,9276,1000000,0,0,1,0,0,0,0,1
14208,9298,1000000,0,0,1,0,0,0,0,0
15221,10311,1000000,0,0,1,0,0,0,0,1
15243,10333,1000000,0,0,1,0,0,0,0,0
15325,10415,1000000,0,0,1,0,0,0,0,1
15346,10436,1000000,0,0,1,0,0,0,0,0
15428,10518,1000000,0,0,1,0,0,0,0,1
15450,10540,1000000,0,0,1,0,0,0,0,0
15531,10621,1000000,0,0,1,0,0,0,0,1
15553,10643,1000000,0,0,1,0,0,0,0,0
15635,10725,1000000,0,0,1,0,0,0,0,1
15656,10746,1000000,0,0,1,0,0,0,0,0
15738,10828,1000000,0,0,1,0,0,0,0,1
15760,10850,1000000,0,0,1,0,0,0,0,0
15841,10931,1000000,0,0,1,0,0,0,0,1
15863,10953,1000000,0,0,1,0,0,0,0,0
16256,11346,1000000,0,0,1,0,0,0,0,1
16278,11368,1000000,0,0,1,0,0,0,0,0
16463,11553,1000000,0,0,1,0,0,0,0,1
16484,11574,1000000,0,0,1,0,0,0,0,0
16566,11656,1000000,0,0,1,0,0,0,0,1
16588,11678,1000000,0,0,1,0,0,0,0,0
16669,11759,1000000,0,0,1,0,0,0,0,1
16691,11781,1000000,0,0,1,0,0,0,0,0
16773,11863,1000000,0,0,1,0,0,0,0,1
16795,11885,1000000,0,0,1,0,0,0,0,0
16980,12070,1000000,0,0,1,0,0,0,0,1
17001,12091,1000000,0,0,1,0,0,0,0,0
17083,12173,1000000,0,0,1,0,0,0,0,1
17105,12195,1000000,0,0,1,0,0,0,0,0
17291,12381,1000000,0,0,1,0,0,0,0,1
17312,12402,1000000,0,0,1,0,0,0,0,0
17498,12588,1000000,0,0,1,0,0,0,0,1
17519,12609,1000000,0,0,1,0,0,0,0,0
17601,12691,1000000,0,0,1,0,0,0,0,1
17622,12712,1000000,0,0,1,0,0,0,0,0
17704,12794,1000000,0,0,1,0,0,0,0,1
17726,12816,1000000,0,0,1,0,0,0,0,0
17808,12898,1000000,0,0,1,0,0,0,0,1
17829,12919,1000000,0,0,1,0,0,0,0,0
17911,13001,1000000,0,0,1,0,0,0,0,1
17933,13023,1000000,0,0,1,0,0,0,0,0
24576,19666,1000000,0,0,1,0,0,0,0,0
