"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-4910,1000000,0,0,1,0,0,0,0,0
4890,-20,1000000,0,0,1,0,0,0,0,1
4912,2,1000000,0,0,1,0,0,0,0,0
5923,1013,1000000,0,0,1,0,0,0,0,1
5945,1035,1000000,0,0,1,0,0,0,0,0
6956,2046,1000000,0,0,1,0,0,0,0,1
6978,2068,1000000,0,0,1,0,0,0,0,0
7989,3079,1000000,0,0,1,0,0,0,0,1
8010,3100,1000000,0,0,1,0,0,0,0,0
9021,4111,1000000,0,0,1,0,0,0,0,1
9043,4133,1000000,0,0,1,0,0,0,0,0
10054,5144,1000000,0,0,1,0,0,0,0,1
10076,5166,1000000,0,0,1,0,0,0,0,0
11087,6177,1000000,0,0,1,0,0,0,0,1
11109,6199,1000000,0,0,1,0,0,0,0,0
12120,7210,1000000,0,0,1,0,0,0,0,1
12142,7232,1000000,0,0,1,0,0,0,0,0
13153,8243,1000000,0,0,1,0,0,0,0,1
13174,8264,1000000,0,0,1,0,0,0,0,0
14186,9276,1000000,0,0,1,0,0,0,0,1
14207,9297,1000000,0,0,1,0,0,0,0,0
15220,10310,1000000,0,0,1,0,0,0,0,1
15242,10332,1000000,0,0,1,0,0,0,0,0
15324,10414,1000000,0,0,1,0,0,0,0,1
15345,10435,1000000,0,0,1,0,0,0,0,0
15427,10517,1000000,0,0,1,0,0,0,0,1
15449,10539,1000000,0,0,1,0,0,0,0,0
15531,10621,1000000,0,0,1,0,0,0,0,1
15552,10642,1000000,0,0,1,0,0,0,0,0
15634,10724,1000000,0,0,1,0,0,0,0,1
15656,10746,1000000,0,0,1,0,0,0,0,0
15737,10827,1000000,0,0,1,0,0,0,0,1
15759,10849,1000000,0,0,1,0,0,0,0,0
15841,10931,1000000,0,0,1,0,0,0,0,1
15862,10952,1000000,0,0,1,0,0,0,0,0
16255,11345,1000000,0,0,1,0,0,0,0,1
16277,11367,1000000,0,0,1,0,0,0,0,0
16669,11759,1000000,0,0,1,0,0,0,0,1
16690,11780,1000000,0,0,1,0,0,0,0,0
16875,11965,1000000,0,0,1,0,0,0,0,1
16897,11987,1000000,0,0,1,0,0,0,0,0
16979,12069,1000000,0,0,1,0,0,0,0,1
17000,12090,1000000,0,0,1,0,0,0,0,0
17082,12172,1000000,0,0,1,0,0,0,0,1
17104,12194,1000000,0,0,1,0,0,0,0,0
17290,12380,1000000,0,0,1,0,0,0,0,1
17312,12402,1000000,0,0,1,0,0,0,0,0
17497,12587,1000000,0,0,1,0,0,0,0,1
17518,12608,1000000,0,0,1,0,0,0,0,0
17600,12690,1000000,0,0,1,0,0,0,0,1
17622,12712,1000000,0,0,1,0,0,0,0,0
17704,12794,1000000,0,0,1,0,0,0,0,1
17725,12815,1000000,0,0,1,0,0,0,0,0
17807,12897,1000000,0,0,1,0,0,0,0,1
17829,12919,1000000,0,0,1,0,0,0,0,0
17910,13000,1000000,0,0,1,0,0,0,0,1
17932,13022,1000000,0,0,1,0,0,0,0,0
24576,19666,1000000,0,0,1,0,0,0,0,0
