"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-4910,1000000,0,0,1,0,0,0,0,0
4889,-21,1000000,0,0,1,0,0,0,0,1
4911,1,1000000,0,0,1,0,0,0,0,0
5922,1012,1000000,0,0,1,0,0,0,0,1
5944,1034,1000000,0,0,1,0,0,0,0,0
6955,2045,1000000,0,0,1,0,0,0,0,1
6977,2067,1000000,0,0,1,0,0,0,0,0
7988,3078,1000000,0,0,1,0,0,0,0,1
8010,3100,1000000,0,0,1,0,0,0,0,0
9021,4111,1000000,0,0,1,0,0,0,0,1
9042,4132,1000000,0,0,1,0,0,0,0,0
10054,5144,1000000,0,0,1,0,0,0,0,1
10075,5165,1000000,0,0,1,0,0,0,0,0
11086,6176,1000000,0,0,1,0,0,0,0,1
11108,6198,1000000,0,0,1,0,0,0,0,0
12119,7209,1000000,0,0,1,0,0,0,0,1
12141,7231,1000000,0,0,1,0,0,0,0,0
13152,8242,1000000,0,0,1,0,0,0,0,1
13174,8264,1000000,0,0,1,0,0,0,0,0
14185,9275,1000000,0,0,1,0,0,0,0,1
14206,9296,1000000,0,0,1,0,0,0,0,0
15220,10310,1000000,0,0,1,0,0,0,0,1
15241,10331,1000000,0,0,1,0,0,0,0,0
15323,10413,1000000,0,0,1,0,0,0,0,1
15345,10435,1000000,0,0,1,0,0,0,0,0
15426,10516,1000000,0,0,1,0,0,0,0,1
15448,10538,1000000,0,0,1,0,0,0,0,0
15530,10620,1000000,0,0,1,0,0,0,0,1
15551,10641,1000000,0,0,1,0,0,0,0,0
15633,10723,1000000,0,0,1,0,0,0,0,1
15655,10745,1000000,0,0,1,0,0,0,0,0
15737,10827,1000000,0,0,1,0,0,0,0,1
15758,10848,1000000,0,0,1,0,0,0,0,0
15840,10930,1000000,0,0,1,0,0,0,0,1
15862,10952,1000000,0,0,1,0,0,0,0,0
16254,11344,1000000,0,0,1,0,0,0,0,1
16276,11366,1000000,0,0,1,0,0,0,0,0
16358,11448,1000000,0,0,1,0,0,0,0,1
16379,11469,1000000,0,0,1,0,0,0,0,0
16461,11551,1000000,0,0,1,0,0,0,0,1
16483,11573,1000000,0,0,1,0,0,0,0,0
16668,11758,1000000,0,0,1,0,0,0,0,1
16690,11780,1000000,0,0,1,0,0,0,0,0
16771,11861,1000000,0,0,1,0,0,0,0,1
16793,11883,1000000,0,0,1,0,0,0,0,0
16978,12068,1000000,0,0,1,0,0,0,0,1
17000,12090,1000000,0,0,1,0,0,0,0,0
17082,12172,1000000,0,0,1,0,0,0,0,1
17103,12193,1000000,0,0,1,0,0,0,0,0
17289,12379,1000000,0,0,1,0,0,0,0,1
17311,12401,1000000,0,0,1,0,0,0,0,0
17496,12586,1000000,0,0,1,0,0,0,0,1
17518,12608,1000000,0,0,1,0,0,0,0,0
17599,12689,1000000,0,0,1,0,0,0,0,1
17621,12711,1000000,0,0,1,0,0,0,0,0
17703,12793,1000000,0,0,1,0,0,0,0,1
17724,12814,1000000,0,0,1,0,0,0,0,0
17806,12896,1000000,0,0,1,0,0,0,0,1
17828,12918,1000000,0,0,1,0,0,0,0,0
17910,13000,1000000,0,0,1,0,0,0,0,1
17931,13021,1000000,0,0,1,0,0,0,0,0
24576,19666,1000000,0,0,1,0,0,0,0,0
